x,y
0,1
1,2
2,3
3,4
4,5
5,5
6,5
7,6
8,6
9,6
10,7
11,8
12,9
13,9
14,9
15,9
16,9
17,10
18,11
19,12
20,13
21,13
22,14
23,15
24,16
25,17
26,17
27,17
28,17
29,17
30,17
31,17
32,17
33,17
34,17
35,18
36,18
37,19
38,19
39,20
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,20
48,21
49,21
50,22
51,22
52,22
53,22
54,22
55,23
56,24
57,24
58,24
59,24
60,24
61,24
62,24
63,24
64,25
65,25
66,25
67,25
68,25
69,25
70,26
71,26
72,26
73,26
74,26
75,27
76,27
77,27
78,27
79,27
80,28
81,28
82,28
83,28
84,28
85,28
86,28
87,29
88,29
89,29
90,29
91,29
92,29
93,29
94,30
95,30
96,30
97,30
98,30
99,30
100,31
101,31
102,31
103,32
104,32
105,32
106,32
107,32
108,32
109,32
110,32
111,32
112,32
113,32
114,32
115,32
116,32
117,32
118,32
119,33
120,34
121,34
122,34
123,35
124,35
125,35
126,35
127,36
128,36
129,36
130,36
131,37
132,37
133,37
134,37
135,37
136,37
137,37
138,37
139,37
140,38
141,38
142,39
143,39
144,39
145,39
146,39
147,39
148,40
149,40
150,40
151,40
152,40
153,40
154,40
155,40
156,40
157,40
158,40
159,40
160,40
161,40
162,41
163,41
164,42
165,42
166,42
167,42
168,42
169,42
170,42
171,42
172,42
173,42
174,42
175,42
176,42
177,42
178,42
179,42
180,42
181,42
182,43
183,43
184,43
185,43
186,43
187,43
188,43
189,44
190,44
191,44
192,44
193,44
194,44
195,44
196,44
197,44
198,44
199,44
200,44
201,45
202,45
203,45
204,45
205,45
206,45
207,45
208,45
209,45
210,45
211,45
212,45
213,45
214,45
215,46
216,46
217,47
218,48
219,48
220,48
221,48
222,48
223,49
224,49
225,49
226,49
227,49
228,49
229,49
230,49
231,49
232,49
233,50
234,50
235,50
236,50
237,50
238,50
239,50
240,51
241,51
242,51
243,51
244,51
245,51
246,51
247,51
248,51
249,51
250,51
251,51
252,51
253,51
254,51
255,51
256,51
257,52
258,53
259,53
260,53
261,53
262,53
263,53
264,53
265,53
266,53
267,53
268,53
269,53
270,54
271,54
272,54
273,54
274,55
275,55
276,55
277,55
278,55
279,55
280,55
281,55
282,55
283,56
284,56
285,56
286,56
287,56
288,57
289,57
290,57
291,57
292,57
293,57
294,58
295,59
296,59
297,59
298,59
299,59
300,59
301,59
302,59
303,59
304,59
305,59
306,59
307,59
308,59
309,59
310,59
311,59
312,59
313,59
314,59
315,59
316,59
317,59
318,59
319,59
320,59
321,59
322,59
323,59
324,59
325,59
326,59
327,59
328,59
329,59
330,59
331,59
332,59
333,59
334,59
335,59
336,59
337,59
338,59
339,59
340,59
341,59
342,59
343,59
344,59
345,59
346,59
347,59
348,60
349,60
350,60
351,60
352,60
353,60
354,60
355,60
356,60
357,60
358,60
359,61
360,61
361,61
362,61
363,61
364,61
365,61
366,61
367,61
368,61
369,61
370,61
371,61
372,61
373,61
374,61
375,62
376,62
377,62
378,62
379,62
380,62
381,62
382,62
383,62
384,62
385,62
386,63
387,63
388,63
389,63
390,63
391,63
392,63
393,63
394,63
395,63
396,63
397,63
398,63
399,63
400,63
401,63
402,63
403,63
404,63
405,63
406,63
407,63
408,64
409,64
410,64
411,64
412,64
413,64
414,64
415,64
416,64
417,65
418,65
419,65
420,65
421,65
422,65
423,65
424,65
425,65
426,65
427,65
428,65
429,65
430,65
431,65
432,65
433,65
434,65
435,65
436,65
437,65
438,65
439,65
440,66
441,66
442,66
443,66
444,66
445,66
446,66
447,66
448,66
449,66
450,66
451,66
452,66
453,66
454,67
455,68
456,68
457,68
458,68
459,68
460,68
461,68
462,68
463,68
464,69
465,69
466,69
467,69
468,69
469,69
470,69
471,69
472,69
473,69
474,69
475,70
476,70
477,70
478,70
479,70
480,70
481,70
482,71
483,71
484,71
485,71
486,71
487,71
488,71
489,71
490,71
491,71
492,71
493,71
494,71
495,72
496,72
497,72
498,72
499,72
500,72
501,72
502,72
503,72
504,72
505,72
506,72
507,72
508,72
509,72
510,72
511,72
512,72
513,72
514,72
515,72
516,72
517,72
518,72
519,72
520,72
521,72
522,72
523,72
524,72
525,72
526,72
527,72
528,72
529,72
530,72
531,72
532,72
533,73
534,73
535,73
536,73
537,73
538,73
539,73
540,73
541,73
542,73
543,73
544,74
545,74
546,74
547,74
548,74
549,74
550,74
551,74
552,74
553,74
554,74
555,74
556,74
557,74
558,75
559,75
560,75
561,75
562,75
563,75
564,75
565,75
566,75
567,75
568,75
569,75
570,75
571,75
572,75
573,75
574,75
575,75
576,75
577,75
578,75
579,75
580,75
581,75
582,75
583,75
584,75
585,75
586,75
587,75
588,75
589,75
590,75
591,75
592,75
593,75
594,75
595,75
596,75
597,75
598,75
599,75
600,75
601,75
602,75
603,75
604,75
605,75
606,75
607,75
608,75
609,75
610,75
611,75
612,75
613,76
614,76
615,76
616,76
617,76
618,76
619,76
620,76
621,76
622,76
623,76
624,76
625,76
626,76
627,76
628,76
629,76
630,76
631,76
632,76
633,76
634,76
635,76
636,77
637,77
638,77
639,77
640,78
641,78
642,78
643,78
644,78
645,78
646,78
647,78
648,78
649,78
650,78
651,78
652,78
653,78
654,78
655,78
656,78
657,78
658,78
659,78
660,78
661,78
662,78
663,78
664,78
665,78
666,78
667,78
668,78
669,78
670,78
671,78
672,78
673,78
674,78
675,78
676,78
677,78
678,78
679,78
680,78
681,78
682,78
683,78
684,78
685,78
686,78
687,78
688,78
689,78
690,78
691,78
692,79
693,80
694,81
695,82
696,82
697,82
698,82
699,82
700,82
701,82
702,82
703,82
704,82
705,82
706,82
707,82
708,82
709,82
710,82
711,82
712,82
713,82
714,82
715,82
716,82
717,82
718,83
719,83
720,83
721,84
722,84
723,84
724,84
725,84
726,84
727,84
728,84
729,84
730,85
731,85
732,85
733,85
734,85
735,85
736,85
737,85
738,85
739,85
740,85
741,85
742,85
743,85
744,85
745,85
746,85
747,85
748,85
749,85
750,85
751,85
752,85
753,85
754,85
755,85
756,85
757,85
758,85
759,85
760,85
761,85
762,86
763,86
764,86
765,86
766,86
767,86
768,86
769,86
770,86
771,86
772,86
773,86
774,86
775,86
776,86
777,86
778,86
779,86
780,86
781,86
782,86
783,86
784,86
785,86
786,86
787,86
788,86
789,86
790,86
791,86
792,86
793,87
794,87
795,87
796,87
797,87
798,87
799,87
800,87
801,87
802,88
803,88
804,88
805,88
806,88
807,88
808,88
809,88
810,88
811,88
812,88
813,88
814,88
815,88
816,88
817,88
818,88
819,88
820,88
821,88
822,88
823,88
824,88
825,88
826,88
827,88
828,88
829,88
830,88
831,88
832,88
833,88
834,88
835,88
836,88
837,88
838,88
839,88
840,88
841,88
842,88
843,88
844,88
845,88
846,88
847,88
848,88
849,88
850,88
851,88
852,88
853,88
854,88
855,89
856,89
857,89
858,89
859,89
860,89
861,89
862,89
863,89
864,89
865,89
866,89
867,89
868,89
869,89
870,89
871,89
872,89
873,89
874,89
875,89
876,89
877,89
878,89
879,89
880,89
881,89
882,89
883,89
884,90
885,90
886,90
887,90
888,90
889,90
890,90
891,90
892,90
893,90
894,90
895,91
896,91
897,91
898,91
899,91
900,91
901,91
902,91
903,91
904,91
905,91
906,92
907,92
908,92
909,92
910,92
911,92
912,92
913,92
914,92
915,92
916,92
917,92
918,92
919,92
920,92
921,92
922,92
923,92
924,92
925,92
926,92
927,92
928,92
929,92
930,92
931,92
932,92
933,92
934,92
935,92
936,92
937,92
938,92
939,92
940,92
941,92
942,92
943,92
944,92
945,92
946,92
947,92
948,92
949,92
950,92
951,92
952,92
953,92
954,92
955,92
956,93
957,93
958,93
959,93
960,93
961,93
962,93
963,93
