x,y
0,1
1,2
2,3
3,4
4,5
5,5
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,7
18,7
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,9
27,9
28,9
29,10
30,10
31,10
32,10
33,10
34,11
35,11
36,11
37,11
38,12
39,12
40,12
41,12
42,12
43,12
44,12
45,12
46,12
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,12
59,12
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,12
68,12
69,12
70,12
71,12
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,13
80,13
81,13
82,13
83,13
84,13
85,13
86,13
87,13
88,13
89,13
90,13
91,13
92,13
93,13
94,13
95,14
96,14
97,14
98,14
99,14
100,14
101,14
102,14
103,14
104,15
105,15
106,15
107,16
108,16
109,16
110,16
111,16
112,16
113,16
114,16
115,16
116,16
117,16
118,16
119,16
120,16
121,16
122,16
123,16
124,16
125,17
126,17
127,17
128,17
129,17
130,17
131,17
132,17
133,17
134,17
135,17
136,17
137,17
138,17
139,17
140,18
141,18
142,18
143,18
144,18
145,18
146,18
147,18
148,18
149,18
150,18
151,18
152,18
153,18
154,18
155,18
156,18
157,18
158,18
159,18
160,18
161,18
162,18
163,18
164,19
165,19
166,19
167,19
168,19
169,19
170,19
171,19
172,19
173,19
174,19
175,19
176,19
177,19
178,19
179,19
180,19
181,19
182,20
183,20
184,20
185,20
186,20
187,20
188,20
189,20
190,20
191,20
192,20
193,20
194,21
195,21
196,21
197,21
198,21
199,21
200,21
201,21
202,21
203,21
204,21
205,21
206,22
207,22
208,22
209,22
210,22
211,22
212,22
213,22
214,22
215,22
216,22
217,22
218,22
219,22
220,22
221,22
222,22
223,22
224,22
225,22
226,22
227,22
228,22
229,22
230,22
231,22
232,22
233,22
234,22
235,22
236,22
237,22
238,22
239,23
240,23
241,23
242,23
243,23
244,23
245,23
246,23
247,23
248,23
249,23
250,23
251,23
252,23
253,23
254,23
255,23
256,23
257,24
258,24
259,24
260,24
261,24
262,24
263,24
264,24
265,24
266,24
267,24
268,24
269,24
270,24
271,24
272,24
273,24
274,24
275,25
276,25
277,25
278,25
279,25
280,25
281,25
282,25
283,25
284,25
285,25
286,25
287,25
288,25
289,25
290,25
291,25
292,25
293,25
294,25
295,25
296,25
297,25
298,25
299,25
300,25
301,25
302,25
303,25
304,25
305,25
306,25
307,25
308,26
309,26
310,26
311,26
312,26
313,27
314,27
315,27
316,27
317,27
318,27
319,27
320,27
321,27
322,27
323,27
324,27
325,27
326,27
327,27
328,27
329,27
330,27
331,27
332,27
333,27
334,27
335,27
336,27
337,27
338,27
339,27
340,27
341,28
342,28
343,28
344,29
345,29
346,29
347,29
348,29
349,29
350,29
351,29
352,29
353,29
354,29
355,29
356,29
357,29
358,29
359,29
360,29
361,29
362,29
363,29
364,29
365,29
366,29
367,29
368,30
369,30
370,30
371,30
372,30
373,30
374,30
375,30
376,30
377,30
378,30
379,30
380,30
381,30
382,30
383,30
384,30
385,30
386,30
387,30
388,30
389,30
390,30
391,30
392,30
393,30
394,30
395,30
396,30
397,30
398,30
399,30
400,30
401,30
402,30
403,30
404,30
405,30
406,30
407,31
408,31
409,31
410,31
411,31
412,31
413,31
414,31
415,31
416,31
417,31
418,31
419,31
420,31
421,31
422,31
423,31
424,31
425,32
426,32
427,32
428,32
429,32
430,32
431,32
432,32
433,32
434,32
435,32
436,32
437,32
438,32
439,32
440,32
441,32
442,32
443,32
444,32
445,32
446,32
447,32
448,32
449,32
450,32
451,32
452,33
453,33
454,33
455,33
456,33
457,33
458,33
459,33
460,33
461,33
462,33
463,33
464,33
465,33
466,33
467,33
468,33
469,33
470,33
471,33
472,33
473,33
474,33
475,33
476,33
477,33
478,33
479,33
480,33
481,33
482,33
483,33
484,33
485,33
486,33
487,34
488,35
489,35
490,35
491,35
492,35
493,35
494,36
495,36
496,36
497,36
498,36
499,36
500,36
501,36
502,36
503,36
504,36
505,36
506,36
507,36
508,36
509,36
510,36
511,36
512,36
513,36
514,36
515,36
516,36
517,36
518,36
519,36
520,36
521,36
522,36
523,36
524,36
525,36
526,36
527,36
528,36
529,36
530,36
531,36
532,36
533,36
534,36
535,36
536,36
537,36
538,36
539,36
540,36
541,36
542,36
543,36
544,36
545,36
546,36
547,36
548,36
549,36
550,36
551,36
552,36
553,36
554,36
555,36
556,36
557,36
558,36
559,36
560,36
561,36
562,36
563,36
564,36
565,36
566,36
567,36
568,36
569,37
570,37
571,37
572,37
573,37
574,37
575,37
576,37
577,37
578,37
579,37
580,37
581,37
582,37
583,37
584,37
585,37
586,37
587,37
588,37
589,37
590,37
591,37
592,37
593,37
594,37
595,37
596,37
597,37
598,37
599,37
600,37
601,37
602,37
603,37
604,37
605,37
606,37
607,37
608,37
609,37
610,37
611,37
612,37
613,37
614,37
615,37
616,37
617,37
618,37
619,37
620,37
621,37
622,37
623,38
624,38
625,38
626,38
627,38
628,38
629,38
630,38
631,38
632,38
633,38
634,38
635,38
636,38
637,38
638,38
639,38
640,38
641,38
642,38
643,38
644,38
645,38
646,38
647,38
648,38
649,38
650,38
651,38
652,38
653,38
654,38
655,38
656,38
657,38
658,38
659,38
660,38
661,38
662,38
663,38
664,38
665,38
666,38
667,38
668,38
669,38
670,38
671,38
672,38
673,38
674,38
675,38
676,38
677,38
678,38
679,38
680,38
681,38
682,38
683,38
684,38
685,38
686,38
687,38
688,38
689,38
690,38
691,38
692,38
693,38
694,38
695,38
696,38
697,38
698,38
699,38
700,38
701,38
702,38
703,38
704,38
705,38
706,38
707,38
708,38
709,38
710,38
711,38
712,38
713,38
714,38
715,38
716,38
717,38
718,38
719,38
720,38
721,38
722,38
723,38
724,38
725,38
726,38
727,38
728,38
729,38
730,38
731,38
732,38
733,38
734,38
735,38
736,38
737,38
738,38
739,38
740,38
741,38
742,38
743,38
744,38
745,38
746,38
747,38
748,38
749,38
750,38
751,38
752,38
753,38
754,38
755,38
756,38
757,38
758,39
759,39
760,39
761,39
762,39
763,39
764,39
765,39
766,39
767,39
768,39
769,39
770,39
771,39
772,39
773,39
774,39
775,39
776,39
777,39
778,39
779,39
780,39
781,39
782,39
783,39
784,39
785,40
786,40
787,40
788,40
789,40
790,40
791,40
792,40
793,40
794,40
795,40
796,40
797,40
798,40
799,40
800,40
801,40
802,40
803,40
804,40
805,40
806,40
807,40
808,40
809,40
810,40
811,40
812,40
813,40
814,40
815,40
816,40
817,40
818,40
819,40
820,40
821,40
822,40
823,40
824,40
825,40
826,40
827,40
828,40
829,40
830,40
831,40
832,40
833,40
834,40
835,40
836,40
837,40
838,40
839,40
840,40
841,40
842,40
843,40
844,40
845,40
846,40
847,40
848,40
849,40
850,40
851,40
852,40
853,40
854,40
855,40
856,40
857,40
858,40
859,40
860,40
861,40
862,40
863,40
864,40
865,40
866,40
867,40
868,40
869,40
870,40
871,40
872,40
873,40
874,40
875,40
876,40
877,40
878,40
879,40
880,40
881,40
882,40
883,40
884,40
885,40
886,40
887,40
888,40
889,40
890,40
891,40
892,40
893,40
894,40
895,40
896,40
897,40
898,40
899,40
900,40
901,40
902,40
903,40
904,40
905,40
906,40
907,40
908,40
909,40
910,40
911,40
912,40
913,40
914,40
915,40
916,40
917,41
918,41
919,41
920,41
921,41
922,41
923,41
924,41
925,41
926,41
927,41
928,41
929,41
930,41
931,41
932,41
933,41
934,41
935,41
936,41
937,41
938,41
939,41
940,41
941,41
942,41
943,41
944,41
945,41
946,41
947,41
948,41
949,41
950,41
951,41
952,41
953,41
954,41
955,41
956,41
957,41
958,41
959,41
960,41
961,41
962,41
963,41
