x,y
0,1
1,2
2,3
3,4
4,4
5,5
6,5
7,5
8,6
9,6
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,9
28,9
29,9
30,9
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,11
43,11
44,11
45,11
46,12
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,13
58,13
59,13
60,14
61,14
62,14
63,14
64,15
65,15
66,15
67,16
68,16
69,16
70,16
71,17
72,17
73,18
74,19
75,19
76,19
77,19
78,20
79,20
80,20
81,20
82,20
83,20
84,20
85,21
86,21
87,21
88,21
89,21
90,22
91,22
92,22
93,23
94,23
95,23
96,23
97,24
98,24
99,24
100,24
101,24
102,24
103,24
104,24
105,24
106,24
107,24
108,24
109,24
110,25
111,25
112,25
113,25
114,26
115,26
116,26
117,26
118,26
119,26
120,27
121,27
122,27
123,27
124,27
125,27
126,27
127,27
128,28
129,28
130,28
131,28
132,28
133,28
134,28
135,28
136,28
137,29
138,29
139,29
140,29
141,29
142,30
143,30
144,30
145,30
146,30
147,30
148,31
149,31
150,31
151,31
152,31
153,31
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,31
162,31
163,31
164,31
165,31
166,31
167,31
168,31
169,31
170,32
171,33
172,33
173,34
174,34
175,34
176,34
177,34
178,34
179,34
180,34
181,34
182,34
183,34
184,34
185,35
186,35
187,35
188,35
189,35
190,35
191,35
192,36
193,36
194,36
195,36
196,36
197,36
198,36
199,36
200,36
201,36
202,36
203,36
204,36
205,36
206,36
207,37
208,37
209,37
210,37
211,37
212,37
213,37
214,37
215,37
216,38
217,38
218,38
219,39
220,39
221,39
222,39
223,39
224,40
225,40
226,40
227,40
228,40
229,40
230,40
231,40
232,40
233,40
234,40
235,40
236,40
237,40
238,40
239,40
240,40
241,40
242,40
243,40
244,40
245,40
246,40
247,40
248,40
249,41
250,42
251,42
252,42
253,42
254,42
255,43
256,43
257,43
258,43
259,43
260,43
261,43
262,44
263,44
264,44
265,44
266,44
267,44
268,44
269,44
270,45
271,45
272,45
273,45
274,45
275,45
276,45
277,45
278,45
279,45
280,45
281,45
282,45
283,45
284,45
285,45
286,45
287,45
288,45
289,45
290,45
291,45
292,45
293,45
294,45
295,45
296,45
297,45
298,45
299,45
300,45
301,45
302,45
303,45
304,45
305,45
306,45
307,45
308,45
309,45
310,45
311,45
312,45
313,45
314,45
315,45
316,45
317,45
318,45
319,45
320,45
321,45
322,45
323,45
324,45
325,45
326,45
327,45
328,45
329,45
330,45
331,45
332,45
333,45
334,45
335,45
336,45
337,45
338,45
339,45
340,45
341,45
342,45
343,45
344,45
345,45
346,45
347,45
348,45
349,45
350,46
351,46
352,46
353,46
354,46
355,46
356,46
357,46
358,46
359,46
360,46
361,46
362,46
363,47
364,47
365,47
366,47
367,47
368,47
369,48
370,48
371,48
372,48
373,48
374,48
375,49
376,49
377,49
378,49
379,49
380,49
381,49
382,49
383,49
384,49
385,49
386,49
387,49
388,49
389,49
390,49
391,49
392,49
393,49
394,49
395,49
396,49
397,49
398,49
399,50
400,50
401,50
402,51
403,51
404,51
405,51
406,51
407,51
408,51
409,51
410,51
411,51
412,51
413,52
414,53
415,53
416,53
417,53
418,53
419,53
420,53
421,53
422,53
423,54
424,54
425,54
426,54
427,54
428,54
429,54
430,54
431,54
432,54
433,54
434,54
435,54
436,54
437,54
438,54
439,54
440,54
441,54
442,54
443,54
444,54
445,55
446,55
447,55
448,55
449,55
450,55
451,55
452,55
453,55
454,55
455,55
456,55
457,56
458,56
459,56
460,56
461,56
462,56
463,56
464,56
465,56
466,56
467,56
468,56
469,56
470,56
471,56
472,56
473,56
474,56
475,56
476,57
477,57
478,57
479,57
480,57
481,57
482,57
483,57
484,57
485,57
486,57
487,57
488,57
489,57
490,57
491,57
492,57
493,57
494,57
495,57
496,57
497,57
498,57
499,57
500,57
501,57
502,57
503,57
504,57
505,57
506,57
507,57
508,57
509,57
510,58
511,58
512,58
513,58
514,58
515,58
516,58
517,58
518,58
519,58
520,58
521,58
522,58
523,58
524,58
525,58
526,58
527,58
528,58
529,58
530,58
531,58
532,58
533,58
534,58
535,58
536,58
537,58
538,58
539,58
540,58
541,58
542,58
543,58
544,58
545,58
546,58
547,58
548,58
549,58
550,58
551,58
552,58
553,58
554,58
555,58
556,58
557,58
558,58
559,58
560,58
561,58
562,58
563,58
564,58
565,58
566,58
567,58
568,58
569,58
570,58
571,58
572,58
573,58
574,58
575,58
576,58
577,58
578,58
579,58
580,58
581,58
582,58
583,58
584,58
585,58
586,58
587,58
588,58
589,58
590,58
591,58
592,58
593,58
594,58
595,58
596,59
597,59
598,59
599,59
600,60
601,60
602,60
603,60
604,60
605,60
606,60
607,60
608,60
609,60
610,60
611,60
612,60
613,60
614,60
615,60
616,60
617,60
618,60
619,60
620,60
621,60
622,60
623,60
624,60
625,60
626,60
627,60
628,60
629,60
630,60
631,60
632,60
633,60
634,60
635,60
636,60
637,60
638,60
639,60
640,60
641,60
642,60
643,60
644,60
645,60
646,60
647,60
648,60
649,60
650,60
651,60
652,60
653,60
654,60
655,60
656,60
657,60
658,60
659,60
660,60
661,60
662,60
663,60
664,60
665,60
666,60
667,60
668,60
669,60
670,60
671,60
672,60
673,60
674,60
675,60
676,60
677,60
678,60
679,60
680,60
681,60
682,60
683,60
684,60
685,60
686,60
687,60
688,60
689,60
690,60
691,60
692,60
693,60
694,60
695,60
696,60
697,60
698,60
699,60
700,60
701,60
702,60
703,60
704,60
705,60
706,60
707,60
708,60
709,60
710,60
711,60
712,60
713,60
714,60
715,60
716,60
717,60
718,60
719,60
720,60
721,60
722,60
723,60
724,60
725,60
726,60
727,60
728,60
729,60
730,61
731,61
732,61
733,61
734,61
735,61
736,61
737,61
738,61
739,61
740,61
741,61
742,62
743,62
744,62
745,62
746,62
747,62
748,62
749,62
750,62
751,62
752,62
753,62
754,62
755,62
756,63
757,63
758,63
759,63
760,63
761,63
762,63
763,63
764,63
765,63
766,63
767,63
768,63
769,63
770,63
771,63
772,63
773,63
774,63
775,63
776,63
777,63
778,63
779,63
780,63
781,63
782,63
783,63
784,63
785,63
786,63
787,63
788,63
789,63
790,63
791,63
792,63
793,63
794,63
795,63
796,63
797,63
798,63
799,63
800,63
801,63
802,64
803,64
804,64
805,64
806,64
807,64
808,64
809,64
810,64
811,64
812,64
813,64
814,64
815,64
816,64
817,64
818,64
819,64
820,64
821,64
822,64
823,64
824,64
825,64
826,64
827,64
828,64
829,64
830,64
831,64
832,64
833,64
834,64
835,64
836,64
837,64
838,64
839,64
840,64
841,64
842,64
843,64
844,64
845,64
846,64
847,64
848,64
849,64
850,64
851,64
852,64
853,64
854,64
855,64
856,64
857,64
858,64
859,64
860,64
861,64
862,64
863,64
864,64
865,64
866,64
867,64
868,64
869,64
870,64
871,64
872,64
873,64
874,64
875,64
876,64
877,64
878,64
879,64
880,64
881,64
882,64
883,64
884,64
885,64
886,64
887,64
888,64
889,64
890,64
891,64
892,64
893,64
894,64
895,64
896,64
897,64
898,64
899,64
900,64
901,64
902,64
903,64
904,65
905,65
906,65
907,65
908,65
909,65
910,65
911,65
912,65
913,65
914,65
915,66
916,66
917,66
918,66
919,66
920,66
921,66
922,66
923,66
924,66
925,66
926,66
927,66
928,66
929,66
930,66
931,66
932,66
933,66
934,66
935,66
936,66
937,66
938,66
939,66
940,66
941,66
942,66
943,66
944,66
945,66
946,66
947,66
948,66
949,66
950,66
951,66
952,66
953,66
954,66
955,66
956,66
957,66
958,66
959,66
960,66
961,66
962,66
963,66
