x,y
0,1
1,2
2,2
3,3
4,4
5,5
6,5
7,6
8,7
9,7
10,7
11,8
12,9
13,10
14,10
15,10
16,10
17,10
18,10
19,11
20,11
21,11
22,11
23,12
24,12
25,12
26,12
27,12
28,13
29,13
30,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,14
42,14
43,15
44,15
45,16
46,16
47,16
48,17
49,17
50,17
51,17
52,17
53,17
54,17
55,17
56,17
57,17
58,17
59,17
60,17
61,18
62,18
63,18
64,18
65,18
66,19
67,19
68,19
69,19
70,19
71,19
72,19
73,19
74,19
75,19
76,19
77,19
78,20
79,20
80,20
81,20
82,20
83,20
84,20
85,21
86,22
87,22
88,22
89,22
90,23
91,23
92,24
93,24
94,25
95,25
96,26
97,26
98,26
99,26
100,26
101,26
102,26
103,26
104,27
105,27
106,27
107,27
108,27
109,28
110,29
111,29
112,30
113,31
114,31
115,31
116,31
117,31
118,32
119,32
120,32
121,32
122,33
123,33
124,33
125,33
126,34
127,34
128,34
129,34
130,34
131,34
132,34
133,34
134,34
135,34
136,34
137,34
138,34
139,34
140,34
141,34
142,34
143,34
144,35
145,35
146,35
147,35
148,35
149,35
150,35
151,36
152,36
153,36
154,36
155,36
156,36
157,36
158,36
159,36
160,37
161,37
162,37
163,38
164,38
165,38
166,38
167,38
168,38
169,38
170,38
171,38
172,38
173,38
174,39
175,39
176,39
177,39
178,40
179,40
180,40
181,40
182,41
183,41
184,42
185,43
186,43
187,43
188,43
189,43
190,43
191,43
192,43
193,43
194,43
195,43
196,43
197,43
198,43
199,43
200,43
201,43
202,43
203,43
204,43
205,43
206,43
207,43
208,43
209,43
210,43
211,43
212,43
213,43
214,43
215,43
216,43
217,43
218,43
219,43
220,43
221,43
222,43
223,43
224,43
225,43
226,43
227,43
228,43
229,43
230,44
231,45
232,45
233,45
234,45
235,45
236,45
237,45
238,45
239,45
240,45
241,45
242,45
243,45
244,45
245,46
246,46
247,46
248,46
249,46
250,46
251,46
252,47
253,47
254,47
255,48
256,48
257,49
258,49
259,49
260,49
261,49
262,49
263,49
264,49
265,50
266,50
267,50
268,50
269,50
270,50
271,50
272,50
273,51
274,51
275,51
276,51
277,52
278,52
279,52
280,52
281,52
282,52
283,52
284,52
285,52
286,52
287,52
288,53
289,53
290,53
291,53
292,53
293,53
294,53
295,53
296,53
297,53
298,53
299,53
300,53
301,53
302,53
303,53
304,53
305,53
306,53
307,53
308,53
309,53
310,53
311,53
312,53
313,53
314,53
315,53
316,53
317,53
318,53
319,53
320,53
321,54
322,54
323,54
324,54
325,54
326,54
327,54
328,54
329,54
330,54
331,54
332,54
333,54
334,54
335,54
336,54
337,54
338,54
339,54
340,54
341,54
342,54
343,55
344,55
345,55
346,55
347,55
348,55
349,55
350,55
351,55
352,55
353,55
354,56
355,56
356,56
357,56
358,56
359,56
360,56
361,57
362,57
363,57
364,58
365,58
366,58
367,58
368,59
369,59
370,59
371,59
372,59
373,59
374,59
375,59
376,60
377,60
378,61
379,61
380,61
381,61
382,61
383,61
384,61
385,62
386,62
387,62
388,62
389,62
390,62
391,62
392,62
393,62
394,62
395,62
396,62
397,62
398,62
399,62
400,62
401,62
402,62
403,62
404,62
405,62
406,62
407,62
408,62
409,62
410,62
411,62
412,62
413,62
414,62
415,62
416,62
417,62
418,62
419,62
420,62
421,62
422,63
423,64
424,64
425,64
426,64
427,64
428,64
429,64
430,64
431,64
432,64
433,64
434,64
435,64
436,64
437,64
438,64
439,64
440,64
441,64
442,64
443,64
444,64
445,64
446,64
447,64
448,64
449,64
450,65
451,65
452,66
453,66
454,66
455,66
456,66
457,67
458,67
459,67
460,67
461,67
462,68
463,68
464,68
465,68
466,68
467,68
468,68
469,68
470,68
471,68
472,68
473,68
474,68
475,68
476,68
477,68
478,68
479,68
480,68
481,68
482,68
483,68
484,68
485,68
486,68
487,68
488,68
489,68
490,68
491,68
492,68
493,68
494,68
495,68
496,68
497,68
498,68
499,68
500,68
501,68
502,68
503,68
504,68
505,68
506,68
507,68
508,68
509,68
510,68
511,68
512,68
513,68
514,68
515,68
516,68
517,68
518,68
519,68
520,69
521,69
522,69
523,69
524,69
525,69
526,69
527,69
528,69
529,69
530,69
531,69
532,69
533,69
534,69
535,69
536,69
537,70
538,70
539,70
540,70
541,70
542,70
543,70
544,70
545,70
546,70
547,70
548,70
549,70
550,70
551,70
552,70
553,70
554,70
555,70
556,70
557,70
558,70
559,70
560,71
561,71
562,71
563,71
564,71
565,71
566,71
567,71
568,71
569,71
570,71
571,71
572,71
573,71
574,71
575,71
576,71
577,72
578,72
579,72
580,72
581,72
582,72
583,72
584,72
585,72
586,72
587,72
588,72
589,72
590,72
591,72
592,72
593,72
594,72
595,72
596,72
597,72
598,73
599,73
600,73
601,73
602,73
603,73
604,73
605,73
606,73
607,74
608,75
609,75
610,75
611,75
612,75
613,75
614,75
615,75
616,75
617,75
618,75
619,75
620,75
621,76
622,76
623,76
624,76
625,77
626,77
627,77
628,77
629,78
630,78
631,78
632,78
633,78
634,78
635,78
636,78
637,78
638,78
639,78
640,78
641,78
642,78
643,78
644,78
645,78
646,78
647,78
648,78
649,78
650,78
651,78
652,78
653,78
654,78
655,78
656,78
657,78
658,78
659,78
660,78
661,78
662,78
663,78
664,78
665,79
666,79
667,79
668,79
669,79
670,80
671,80
672,80
673,80
674,80
675,80
676,80
677,80
678,80
679,80
680,80
681,80
682,80
683,80
684,80
685,80
686,80
687,80
688,80
689,80
690,80
691,80
692,81
693,81
694,81
695,81
696,81
697,81
698,81
699,81
700,81
701,81
702,81
703,81
704,81
705,82
706,82
707,82
708,82
709,82
710,82
711,83
712,83
713,83
714,83
715,83
716,83
717,83
718,83
719,83
720,83
721,83
722,83
723,83
724,83
725,83
726,83
727,83
728,83
729,84
730,84
731,84
732,84
733,84
734,84
735,84
736,84
737,84
738,84
739,84
740,84
741,84
742,84
743,84
744,84
745,84
746,84
747,84
748,84
749,84
750,84
751,84
752,84
753,84
754,85
755,86
756,86
757,86
758,86
759,86
760,86
761,86
762,86
763,86
764,86
765,86
766,86
767,86
768,87
769,87
770,87
771,87
772,87
773,87
774,88
775,88
776,88
777,88
778,88
779,88
780,89
781,89
782,89
783,89
784,89
785,89
786,89
787,89
788,89
789,89
790,89
791,89
792,89
793,89
794,89
795,89
796,89
797,89
798,89
799,89
800,89
801,89
802,89
803,89
804,89
805,89
806,90
807,90
808,90
809,90
810,90
811,90
812,90
813,90
814,90
815,90
816,90
817,90
818,90
819,90
820,90
821,90
822,90
823,90
824,90
825,90
826,90
827,90
828,90
829,90
830,90
831,90
832,90
833,90
834,90
835,90
836,90
837,91
838,91
839,91
840,91
841,91
842,91
843,91
844,91
845,91
846,91
847,91
848,91
849,91
850,91
851,91
852,91
853,91
854,91
855,91
856,91
857,91
858,91
859,91
860,91
861,91
862,91
863,91
864,92
865,92
866,92
867,92
868,92
869,92
870,92
871,92
872,92
873,92
874,92
875,92
876,92
877,93
878,93
879,93
880,93
881,93
882,93
883,93
884,93
885,93
886,93
887,93
888,93
889,93
890,93
891,93
892,94
893,95
894,95
895,95
896,95
897,95
898,95
899,95
900,95
901,96
902,96
903,96
904,96
905,96
906,96
907,96
908,96
909,96
910,96
911,96
912,96
913,96
914,96
915,96
916,96
917,96
918,96
919,97
920,97
921,97
922,97
923,97
924,97
925,97
926,97
927,97
928,97
929,97
930,97
931,97
932,97
933,97
934,98
935,98
936,98
937,98
938,98
939,98
940,99
941,99
942,99
943,99
944,99
945,99
946,99
947,99
948,99
949,99
950,99
951,99
952,100
953,100
954,100
955,100
956,100
957,100
958,101
959,101
960,101
961,101
962,101
963,101
