x,y
0,1
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,8
10,9
11,9
12,9
13,9
14,9
15,10
16,11
17,12
18,12
19,12
20,12
21,12
22,13
23,13
24,13
25,14
26,15
27,16
28,17
29,17
30,18
31,18
32,18
33,18
34,18
35,18
36,18
37,18
38,19
39,20
40,20
41,21
42,21
43,21
44,21
45,22
46,22
47,22
48,22
49,22
50,22
51,22
52,22
53,22
54,22
55,22
56,23
57,23
58,23
59,23
60,23
61,23
62,24
63,24
64,24
65,24
66,24
67,25
68,25
69,26
70,26
71,26
72,27
73,28
74,29
75,29
76,29
77,29
78,29
79,29
80,29
81,29
82,29
83,29
84,29
85,29
86,29
87,29
88,29
89,29
90,29
91,29
92,29
93,29
94,29
95,29
96,30
97,31
98,31
99,32
100,33
101,34
102,34
103,34
104,34
105,34
106,34
107,34
108,34
109,34
110,34
111,34
112,34
113,34
114,34
115,34
116,34
117,34
118,34
119,34
120,34
121,34
122,35
123,35
124,35
125,36
126,36
127,36
128,36
129,36
130,37
131,37
132,37
133,37
134,37
135,37
136,38
137,38
138,38
139,38
140,38
141,38
142,38
143,38
144,38
145,38
146,39
147,39
148,39
149,39
150,39
151,39
152,39
153,39
154,40
155,40
156,40
157,40
158,40
159,40
160,41
161,42
162,42
163,42
164,42
165,42
166,42
167,42
168,42
169,42
170,42
171,42
172,42
173,42
174,43
175,43
176,44
177,44
178,44
179,44
180,44
181,44
182,44
183,44
184,44
185,44
186,44
187,44
188,44
189,44
190,44
191,44
192,45
193,45
194,46
195,46
196,47
197,47
198,47
199,47
200,48
201,48
202,48
203,48
204,48
205,48
206,49
207,49
208,49
209,49
210,49
211,49
212,50
213,50
214,50
215,51
216,51
217,51
218,52
219,52
220,52
221,52
222,52
223,52
224,53
225,53
226,53
227,53
228,53
229,53
230,53
231,54
232,55
233,56
234,57
235,57
236,57
237,57
238,57
239,57
240,57
241,57
242,58
243,58
244,58
245,58
246,58
247,58
248,58
249,58
250,58
251,58
252,58
253,58
254,58
255,58
256,58
257,58
258,58
259,58
260,58
261,58
262,59
263,60
264,60
265,60
266,60
267,60
268,60
269,60
270,60
271,60
272,60
273,60
274,60
275,60
276,61
277,61
278,61
279,61
280,61
281,61
282,61
283,61
284,61
285,61
286,61
287,61
288,62
289,62
290,62
291,62
292,62
293,62
294,62
295,62
296,62
297,62
298,62
299,62
300,62
301,62
302,62
303,62
304,62
305,62
306,62
307,62
308,62
309,62
310,63
311,63
312,63
313,63
314,63
315,63
316,63
317,63
318,63
319,63
320,63
321,64
322,65
323,65
324,65
325,65
326,65
327,66
328,66
329,66
330,66
331,66
332,66
333,66
334,66
335,66
336,66
337,66
338,66
339,66
340,66
341,66
342,66
343,66
344,66
345,66
346,67
347,67
348,67
349,67
350,67
351,67
352,67
353,68
354,68
355,68
356,68
357,68
358,68
359,68
360,68
361,68
362,68
363,68
364,68
365,68
366,68
367,68
368,68
369,68
370,68
371,68
372,68
373,69
374,69
375,69
376,69
377,69
378,69
379,69
380,69
381,69
382,69
383,69
384,69
385,69
386,69
387,69
388,69
389,69
390,69
391,69
392,69
393,69
394,69
395,69
396,69
397,69
398,69
399,69
400,69
401,69
402,69
403,69
404,69
405,69
406,69
407,69
408,69
409,69
410,69
411,70
412,70
413,70
414,70
415,70
416,70
417,70
418,70
419,70
420,71
421,71
422,71
423,71
424,71
425,71
426,71
427,71
428,71
429,71
430,71
431,71
432,71
433,72
434,72
435,72
436,72
437,72
438,72
439,72
440,72
441,72
442,72
443,72
444,72
445,72
446,72
447,72
448,72
449,72
450,72
451,72
452,72
453,73
454,73
455,73
456,73
457,73
458,73
459,73
460,73
461,73
462,73
463,73
464,73
465,73
466,73
467,73
468,73
469,73
470,73
471,73
472,73
473,73
474,73
475,73
476,73
477,73
478,73
479,73
480,73
481,73
482,73
483,73
484,73
485,73
486,73
487,73
488,73
489,73
490,73
491,73
492,73
493,73
494,73
495,73
496,73
497,73
498,73
499,73
500,73
501,73
502,73
503,73
504,73
505,73
506,73
507,73
508,73
509,73
510,73
511,73
512,73
513,73
514,73
515,73
516,73
517,73
518,73
519,74
520,74
521,74
522,74
523,74
524,74
525,74
526,74
527,74
528,74
529,75
530,75
531,75
532,75
533,75
534,75
535,75
536,75
537,75
538,75
539,75
540,75
541,75
542,75
543,75
544,75
545,75
546,75
547,75
548,75
549,75
550,75
551,75
552,75
553,75
554,75
555,75
556,75
557,75
558,75
559,75
560,75
561,75
562,75
563,75
564,75
565,75
566,75
567,75
568,75
569,75
570,75
571,75
572,75
573,75
574,75
575,75
576,75
577,75
578,75
579,75
580,75
581,75
582,75
583,75
584,75
585,75
586,75
587,75
588,75
589,75
590,75
591,75
592,75
593,75
594,75
595,75
596,75
597,75
598,75
599,75
600,75
601,75
602,75
603,75
604,75
605,75
606,75
607,75
608,75
609,75
610,75
611,75
612,75
613,75
614,75
615,75
616,75
617,76
618,76
619,76
620,76
621,76
622,76
623,76
624,76
625,76
626,76
627,76
628,76
629,76
630,76
631,76
632,76
633,76
634,76
635,76
636,76
637,76
638,76
639,76
640,76
641,76
642,76
643,76
644,76
645,76
646,76
647,76
648,76
649,76
650,76
651,76
652,76
653,76
654,76
655,76
656,76
657,76
658,76
659,76
660,76
661,76
662,76
663,76
664,76
665,76
666,76
667,76
668,76
669,76
670,76
671,76
672,76
673,76
674,76
675,76
676,76
677,76
678,76
679,76
680,76
681,76
682,76
683,76
684,76
685,76
686,76
687,76
688,76
689,76
690,76
691,76
692,76
693,76
694,76
695,76
696,76
697,77
698,77
699,77
700,77
701,77
702,77
703,77
704,77
705,77
706,77
707,77
708,77
709,77
710,77
711,77
712,77
713,77
714,77
715,77
716,77
717,77
718,77
719,77
720,77
721,77
722,77
723,77
724,77
725,78
726,78
727,78
728,78
729,78
730,78
731,78
732,78
733,78
734,78
735,78
736,79
737,79
738,79
739,79
740,79
741,79
742,79
743,79
744,79
745,79
746,79
747,79
748,79
749,79
750,80
751,81
752,81
753,81
754,81
755,81
756,81
757,81
758,81
759,81
760,81
761,81
762,81
763,81
764,81
765,81
766,81
767,81
768,81
769,81
770,81
771,81
772,82
773,82
774,82
775,82
776,82
777,82
778,82
779,83
780,83
781,83
782,83
783,83
784,83
785,83
786,83
787,83
788,83
789,83
790,83
791,83
792,83
793,83
794,83
795,83
796,83
797,83
798,83
799,83
800,83
801,83
802,84
803,84
804,85
805,85
806,85
807,85
808,85
809,85
810,85
811,85
812,85
