x,y
0,1
1,2
2,2
3,2
4,2
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,6
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,8
112,8
113,8
114,8
115,8
116,8
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,8
126,8
127,8
128,8
129,8
130,8
131,8
132,8
133,9
134,9
135,9
136,9
137,9
138,9
139,9
140,9
141,10
142,10
143,10
144,10
145,10
146,11
147,11
148,11
149,11
150,11
151,11
152,11
153,11
154,11
155,11
156,11
157,11
158,11
159,11
160,11
161,11
162,11
163,11
164,11
165,11
166,11
167,11
168,11
169,11
170,11
171,11
172,11
173,11
174,11
175,11
176,11
177,11
178,11
179,11
180,11
181,11
182,11
183,11
184,11
185,11
186,11
187,11
188,11
189,11
190,11
191,11
192,11
193,11
194,11
195,11
196,11
197,11
198,11
199,11
200,12
201,12
202,12
203,12
204,12
205,12
206,12
207,12
208,12
209,12
210,12
211,12
212,12
213,12
214,12
215,12
216,12
217,12
218,13
219,13
220,13
221,13
222,13
223,13
224,13
225,13
226,14
227,14
228,14
229,14
230,14
231,14
232,14
233,14
234,14
235,14
236,14
237,14
238,14
239,14
240,14
241,14
242,14
243,14
244,14
245,14
246,14
247,14
248,14
249,14
250,14
251,14
252,14
253,14
254,14
255,14
256,14
257,14
258,14
259,14
260,14
261,14
262,14
263,14
264,14
265,14
266,14
267,14
268,14
269,14
270,14
271,14
272,14
273,14
274,14
275,14
276,14
277,14
278,14
279,14
280,14
281,14
282,14
283,14
284,14
285,14
286,14
287,14
288,14
289,14
290,14
291,14
292,14
293,14
294,14
295,14
296,14
297,14
298,14
299,14
300,14
301,14
302,14
303,14
304,14
305,14
306,14
307,14
308,14
309,14
310,14
311,14
312,14
313,15
314,15
315,15
316,15
317,15
318,15
319,15
320,15
321,15
322,15
323,15
324,15
325,15
326,15
327,15
328,15
329,15
330,15
331,15
332,15
333,15
334,15
335,15
336,15
337,15
338,15
339,15
340,15
341,15
342,15
343,15
344,15
345,15
346,15
347,15
348,15
349,15
350,15
351,15
352,15
353,15
354,15
355,15
356,15
357,15
358,15
359,15
360,15
361,15
362,15
363,15
364,15
365,15
366,15
367,15
368,15
369,15
370,15
371,15
372,15
373,15
374,15
375,15
376,15
377,15
378,15
379,15
380,15
381,15
382,15
383,15
384,15
385,15
386,15
387,15
388,15
389,15
390,15
391,15
392,15
393,15
394,16
395,16
396,16
397,16
398,16
399,16
400,16
401,16
402,16
403,16
404,16
405,16
406,16
407,16
408,16
409,16
410,16
411,16
412,16
413,16
414,16
415,16
416,16
417,16
418,16
419,16
420,16
421,16
422,16
423,17
424,17
425,17
426,17
427,17
428,17
429,17
430,17
431,17
432,17
433,17
434,17
435,17
436,17
437,17
438,17
439,17
440,17
441,17
442,17
443,17
444,17
445,17
446,17
447,17
448,17
449,17
450,17
451,17
452,17
453,17
454,17
455,17
456,17
457,17
458,17
459,17
460,17
461,17
462,17
463,17
464,17
465,17
466,17
467,17
468,17
469,17
470,17
471,17
472,17
473,17
474,17
475,17
476,17
477,17
478,17
479,17
480,17
481,17
482,17
483,17
484,17
485,17
486,17
487,17
488,17
489,17
490,17
491,17
492,17
493,17
494,17
495,17
496,17
497,17
498,17
499,17
500,17
501,17
502,17
503,17
504,18
505,18
506,18
507,18
508,18
509,18
510,18
511,18
512,18
513,18
514,18
515,18
516,18
517,18
518,18
519,18
520,18
521,18
522,18
523,18
524,18
525,18
526,18
527,18
528,18
529,18
530,18
531,18
532,18
533,18
534,18
535,18
536,18
537,18
538,18
539,18
540,18
541,18
542,18
543,18
544,18
545,18
546,18
547,18
548,18
549,18
550,18
551,18
552,18
553,18
554,18
555,18
556,18
557,19
558,19
559,19
560,19
561,19
562,19
563,19
564,19
565,19
566,19
567,19
568,19
569,19
570,19
571,19
572,19
573,19
574,19
575,19
576,19
577,19
578,19
579,19
580,19
581,19
582,19
583,19
584,19
585,19
586,19
587,20
588,20
589,21
590,21
591,21
592,21
593,21
594,21
595,21
596,21
597,21
598,21
599,21
600,21
601,21
602,21
603,21
604,21
605,21
606,21
607,21
608,21
609,21
610,21
611,21
612,21
613,21
614,21
615,21
616,21
617,21
618,21
619,21
620,21
621,21
622,21
623,21
624,21
625,21
626,21
627,21
628,21
629,21
630,21
631,21
632,21
633,21
634,21
635,21
636,21
637,21
638,21
639,21
640,21
641,21
642,21
643,21
644,21
645,21
646,21
647,21
648,21
649,21
650,21
651,21
652,21
653,21
654,21
655,21
656,21
657,21
658,21
659,21
660,21
661,21
662,21
663,21
664,21
665,21
666,21
667,21
668,22
669,22
670,22
671,22
672,22
673,22
674,22
675,22
676,22
677,22
678,22
679,22
680,22
681,22
682,22
683,22
684,23
685,23
686,23
687,23
688,23
689,23
690,23
691,23
692,23
693,23
694,23
695,23
696,23
697,23
698,23
699,23
700,23
701,23
702,23
703,23
704,23
705,23
706,23
707,23
708,23
709,23
710,23
711,23
712,23
713,23
714,23
715,23
716,23
717,23
718,23
719,23
720,23
721,23
722,23
723,23
724,23
725,23
726,23
727,23
728,23
729,24
730,24
731,24
732,24
733,24
734,24
735,24
736,24
737,24
738,24
739,24
740,24
741,24
742,24
743,24
744,24
745,24
746,24
747,24
748,24
749,24
750,24
751,24
752,24
753,24
754,24
755,24
756,24
757,24
758,24
759,25
760,25
761,25
762,25
763,25
764,25
765,25
766,25
767,25
768,25
769,25
770,25
771,25
772,25
773,25
774,25
775,25
776,25
777,25
778,25
779,25
780,25
781,25
782,25
783,25
784,25
785,25
786,25
787,25
788,25
789,25
790,25
791,25
792,25
793,25
794,25
795,25
796,25
797,25
798,25
799,25
800,25
801,25
802,25
803,25
804,25
805,25
806,25
807,25
808,26
809,26
810,26
811,26
812,26
813,26
814,26
815,26
816,26
817,26
818,26
819,26
820,26
821,26
822,26
823,26
824,26
825,26
826,26
827,26
828,26
829,26
830,26
831,26
832,26
833,26
834,26
835,26
836,26
837,26
838,26
839,26
840,26
841,26
842,26
843,26
844,26
845,26
846,26
847,26
848,26
849,26
850,26
851,26
852,26
853,26
854,26
855,26
856,26
857,26
858,26
859,26
860,26
861,26
862,26
863,26
864,26
865,26
866,26
867,26
868,26
869,26
870,26
871,26
872,26
873,26
874,26
875,26
876,26
877,26
878,26
879,26
880,26
881,26
882,26
883,26
884,26
885,26
886,26
887,26
888,26
889,26
890,26
891,26
892,26
893,26
894,26
895,26
896,26
897,26
898,26
899,26
900,26
901,26
902,26
903,26
904,26
905,26
906,26
907,26
908,26
909,26
910,26
911,26
912,26
913,27
914,27
915,27
916,27
917,27
918,27
919,27
920,27
921,27
922,27
923,27
924,27
925,27
926,27
927,27
928,27
929,27
930,27
931,27
932,27
933,27
934,27
935,27
936,27
937,27
938,27
939,27
940,27
941,27
942,27
943,27
944,27
945,27
946,27
947,27
948,27
949,27
950,27
951,27
952,27
953,27
954,27
955,27
956,27
957,27
958,27
959,27
960,27
961,27
962,27
963,27
