x,y
0,1
1,1
2,2
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,4
16,5
17,6
18,7
19,7
20,7
21,8
22,9
23,9
24,10
25,11
26,12
27,13
28,14
29,14
30,15
31,15
32,16
33,17
34,17
35,18
36,18
37,18
38,18
39,19
40,20
41,21
42,22
43,23
44,24
45,24
46,25
47,25
48,25
49,26
50,27
51,27
52,27
53,28
54,28
55,28
56,29
57,29
58,29
59,30
60,31
61,32
62,32
63,33
64,33
65,33
66,34
67,35
68,35
69,35
70,35
71,35
72,35
73,36
74,36
75,37
76,37
77,38
78,38
79,38
80,38
81,38
82,38
83,38
84,39
85,39
86,39
87,39
88,40
89,41
90,41
91,42
92,43
93,43
94,43
95,44
96,45
97,45
98,45
99,46
100,46
101,46
102,47
103,48
104,49
105,50
106,51
107,51
108,51
109,51
110,51
111,51
112,52
113,53
114,54
115,55
116,56
117,57
118,58
119,58
120,58
121,58
122,58
123,58
124,59
125,59
126,60
127,61
128,61
129,61
130,62
131,62
132,63
133,64
134,65
135,66
136,66
137,67
138,67
139,67
140,68
141,68
142,69
143,70
144,70
145,70
146,70
147,71
148,71
149,71
150,71
151,71
152,71
153,71
154,72
155,73
156,73
157,73
158,73
159,73
160,73
161,73
162,74
163,75
164,75
165,75
166,75
167,75
168,75
169,76
170,76
171,76
172,76
173,76
174,76
175,76
176,77
177,77
178,77
179,77
180,77
181,77
182,77
183,78
184,78
185,78
186,79
187,79
188,79
189,80
190,81
191,82
192,83
193,84
194,85
195,85
196,85
197,85
198,86
199,86
200,87
201,87
202,87
203,87
204,88
205,88
206,89
207,90
208,91
209,91
210,92
211,92
212,93
213,93
214,93
215,93
216,93
217,93
218,94
219,95
220,95
221,95
222,96
223,96
224,96
225,96
226,97
227,98
228,99
229,100
230,101
231,101
232,101
233,101
234,101
235,101
236,101
237,102
238,102
239,102
240,103
241,103
242,103
243,104
244,104
245,104
246,105
247,105
248,105
249,105
250,105
251,105
252,106
253,107
254,107
255,107
256,107
257,107
258,108
259,108
260,108
261,109
262,110
263,110
264,111
265,112
266,113
267,113
268,113
269,114
270,115
271,115
272,115
273,115
274,115
275,115
276,115
277,116
278,117
279,117
280,118
281,118
282,118
283,118
284,118
285,119
286,119
287,119
288,119
289,119
290,120
291,120
292,120
293,120
294,120
295,120
296,120
297,120
298,121
299,121
300,121
301,122
302,122
303,122
304,123
305,124
306,125
307,126
308,126
309,126
310,126
311,127
312,127
313,128
314,128
315,128
316,128
317,129
318,130
319,130
320,130
321,130
322,130
323,130
324,130
325,130
326,130
327,131
328,132
329,133
330,134
331,134
332,134
333,135
334,135
335,136
336,137
337,137
338,137
339,138
340,138
341,138
342,139
343,139
344,140
345,140
346,140
347,140
348,140
349,140
350,140
351,140
352,140
353,140
354,141
355,142
356,142
357,143
358,143
359,143
360,143
361,144
362,144
363,144
364,144
365,144
366,145
367,145
368,145
369,145
370,145
371,145
372,145
373,145
374,145
375,145
376,145
377,145
378,145
379,145
380,146
381,147
382,147
383,147
384,147
385,148
386,148
387,149
388,150
389,151
390,151
391,151
392,152
393,152
394,153
395,153
396,153
397,153
398,153
399,153
400,154
401,154
402,155
403,155
404,156
405,156
406,156
407,156
408,156
409,157
410,157
411,157
412,157
413,158
414,159
415,159
416,159
417,160
418,160
419,160
420,160
421,160
422,160
423,161
424,161
425,161
426,161
427,161
428,161
429,161
430,161
431,161
432,161
433,161
434,161
435,161
436,161
437,162
438,163
439,163
440,164
441,164
442,165
443,165
444,165
445,165
446,165
447,165
448,165
449,166
450,166
451,166
452,166
453,166
454,166
455,167
456,168
457,168
458,169
459,169
460,169
461,169
462,169
463,169
464,169
465,169
466,169
467,169
468,169
469,170
470,170
471,170
472,170
473,170
474,171
475,171
476,172
477,172
478,173
479,174
480,174
481,174
482,174
483,174
484,175
485,175
486,175
487,175
488,176
489,177
490,177
491,177
492,177
493,177
494,177
495,177
496,178
497,179
498,179
499,179
500,179
501,179
502,179
503,179
504,179
505,179
506,180
507,180
508,180
509,180
510,180
511,181
512,181
513,182
514,183
515,183
516,183
517,183
518,184
519,185
520,186
521,186
522,186
523,186
524,186
525,186
526,186
527,186
528,186
529,186
530,186
531,186
532,187
533,188
534,188
535,188
536,189
537,189
538,190
539,190
540,190
541,190
542,190
543,190
544,190
545,190
546,190
547,190
548,190
549,190
550,190
551,190
552,190
553,190
554,191
555,191
556,191
557,191
558,191
559,191
560,192
561,192
562,193
563,193
564,193
565,194
566,195
567,196
568,196
569,196
570,197
571,197
572,197
573,197
574,197
575,197
576,197
577,197
578,197
579,198
580,198
581,198
582,198
583,198
584,198
585,198
586,198
587,198
588,199
589,199
590,199
591,199
592,199
593,199
594,199
595,200
596,200
597,200
598,200
599,201
600,202
601,202
602,203
603,203
604,204
605,204
606,204
607,204
608,204
609,204
610,204
611,204
612,204
613,204
614,204
615,204
616,204
617,204
618,204
619,204
620,205
621,205
622,205
623,205
624,205
625,206
626,206
627,206
628,206
629,207
630,207
631,208
632,208
633,208
634,209
635,209
636,209
637,209
638,209
639,209
640,209
641,209
642,209
643,209
644,209
645,210
646,210
647,210
648,210
649,210
650,211
651,211
652,212
653,212
654,212
655,212
656,212
657,212
658,213
659,214
660,214
661,215
662,215
663,215
664,215
665,215
666,216
667,217
668,217
669,217
670,217
671,217
672,217
673,217
674,218
675,218
676,219
677,219
678,219
679,219
680,219
681,219
682,219
683,219
684,219
685,219
686,219
687,219
688,219
689,219
690,219
691,219
692,219
693,220
694,221
695,221
696,221
697,221
698,221
699,222
700,223
701,223
702,223
703,224
704,224
705,224
706,224
707,225
708,226
709,226
710,226
711,226
712,226
713,226
714,226
715,226
716,226
717,226
718,226
719,226
720,226
721,226
722,226
723,226
724,226
725,226
726,226
727,226
728,227
729,227
730,227
731,227
732,227
733,227
734,227
735,227
736,227
737,227
738,228
739,228
740,228
741,228
742,228
743,229
744,229
745,230
746,230
747,231
748,231
749,231
750,231
751,232
752,233
753,233
754,233
755,234
756,234
757,234
758,234
759,234
760,234
761,234
762,234
763,234
764,234
765,234
766,234
767,234
768,235
769,235
770,235
771,235
772,235
773,235
774,236
775,236
776,237
777,237
778,237
779,237
780,237
781,237
782,237
783,237
784,237
785,237
786,237
787,237
788,238
789,238
790,238
791,238
792,238
793,238
794,238
795,238
796,239
797,239
798,240
799,240
800,241
801,241
802,241
803,241
804,241
805,242
806,242
807,242
808,242
809,243
810,244
811,244
812,245
