x,y
0,-1452211408
1,0
2,-1452211408
3,0
4,-1452211408
5,-1452211408
6,-1452211408
7,-2070891840
8,-1452211408
9,-1452211408
10,-1452211408
11,-1452211408
12,0
13,-1452211408
14,-1452211408
15,-1452211408
16,1673529760
17,-1452211408
18,-1452211408
19,0
20,-1452211152
21,0
22,-1452211408
23,1782603568
24,-1452211408
25,0
26,-1452211408
27,-1452211408
28,-1452211408
29,-214891728
30,0
31,-1452211408
32,-1452211408
33,0
34,-1452211408
35,0
36,-1452211408
37,0
38,-1452211408
39,-1452211408
40,-1452211408
41,-1452211408
42,0
43,-1452211408
44,0
45,-1452211408
46,0
47,-1452211408
48,-1452211408
49,0
50,-1452211408
51,0
52,-1452211408
53,1782593840
54,-1452211408
55,-167718048
56,-1452211408
57,-1452211408
58,0
59,-1452211408
60,0
61,-1452211408
62,-1452211408
63,-718262064
64,-1452211408
65,264289920
66,-1452211408
67,0
68,-1452211408
69,0
70,-1452211408
71,-1452211408
72,-1452211408
73,-2023746736
74,-1452211408
75,-1452211152
76,-1452211408
77,-1452211408
78,-2070883984
79,-1452211408
80,-1452211408
81,-1452211408
82,0
83,1823540016
84,-1452211408
85,-1452211408
86,-1452211408
87,0
88,-1452211408
89,0
90,-1452211408
91,0
92,-1452211408
93,-1452211408
94,0
95,-1452211408
96,0
97,-1452211408
98,-1452211408
99,-1452211408
100,0
101,-1452211408
102,-1452211408
103,-895455664
104,-1452211152
105,0
106,-1452211408
107,0
108,-1452211408
109,0
110,-1452211408
111,0
112,-1452211408
113,0
114,-1452211408
115,0
116,-1452211408
117,0
118,-1452211408
119,-1452211152
120,0
121,-1452211408
122,-1452211408
123,-1452211408
124,0
125,-1452211408
126,-1452211408
127,-1452211408
128,-1452211408
129,-1452211408
130,-1452211408
131,-1452211408
132,-1452211408
133,0
134,-1452211408
135,0
136,-1452211408
137,-1452211408
138,-1452211408
139,-1452211408
140,-1452211408
141,-1452211408
142,-1452211408
143,-1452211152
144,0
145,-1452211408
146,0
147,-1452211408
148,0
149,-1452211408
150,-1452211408
151,-1452211408
152,-1452211408
153,-1452211408
154,1163921824
155,-1452211408
156,-1452211408
157,-1452211408
158,-1452211408
159,0
160,-1452211408
161,-1452211408
162,-1452211408
163,0
164,-1452211152
165,-1452211408
166,0
167,-1452211408
168,0
169,-1452211408
170,-1452211408
171,-1452211408
172,0
173,-1452211152
174,727778160
175,-1452211408
176,-1452211408
177,-1452211408
178,-2023746736
179,-1452211408
180,-1452211408
181,0
182,-1452211408
183,0
184,-1452211408
185,0
186,-1452211408
187,0
188,-1452211408
189,-1452211408
190,-1452211408
191,-1452211408
192,-1452211152
193,0
194,-1452211408
