x,y
0,-1452211408
1,-1452211408
2,-1452211408
3,-1452211408
4,-1452211408
5,-1452211408
6,-1452211408
7,-1452211408
8,-1452211408
9,-1452211408
10,-1452211408
11,-1452211408
12,-1452211408
13,-1452211408
14,-1452211408
15,-1452211408
16,-1452211408
17,-1452211408
18,-1452211408
19,-1452211408
20,-1452211408
21,-1452211408
22,-1452211408
23,-1452211408
24,-1452211408
25,-1452211408
26,-1452211408
27,-1452211408
28,739311792
29,-1452211408
30,-1452211408
31,-1452211408
32,-1452211408
33,739311792
34,-1452211408
35,-1452211280
36,-1452211408
37,-1452211408
38,-1452211408
39,-1452211408
40,-1452211408
41,-1452211408
42,-1452211408
43,-1452211408
44,739311792
45,739311792
46,-1452211408
47,-1452211408
48,-1452211408
49,-1452211408
50,-1452211408
51,-1452211408
52,-1452211408
53,-1452211408
54,-1452211408
55,-1452211408
56,-1452211408
57,-1452211408
58,-1998519440
59,-1452211408
60,-1452211408
61,-1452211408
62,-1452211408
63,-1452211280
64,-1452211408
65,-1452211408
66,-1452211408
67,-1452211408
68,-1452211408
69,-1452211408
70,-1452211408
71,-1452211280
72,-1452211408
73,-1452211408
74,739311792
75,-1452211408
76,-1452211408
77,-1452211408
78,-1452211408
79,-1452211408
80,-1452211408
81,-1452211408
82,-1452211408
83,-1452211408
84,-1452211408
85,-1452211408
86,-1452211408
87,739311792
88,-1452211408
89,-1452211408
90,-1452211408
91,-1452211408
92,-1452211408
93,-1452211408
94,-1452211408
95,-1452211408
96,-1452211408
97,-1452211408
98,-1452211408
99,-1452211408
100,-1452211408
101,-1452211408
102,-1452211408
103,-1452211408
104,-1452211408
105,-1452211408
106,-1452211408
107,-1452211408
108,-1452211408
109,-1452211408
110,739311792
111,-1452211408
112,-1452211408
113,-1452211408
114,-1452211408
115,-1452211408
116,-1452211408
117,-1452211408
118,-1452211408
119,-1452211408
120,-1452211408
121,-1452211408
122,-1452211408
123,-1452211408
124,-1452211408
125,-1452211408
126,-1452211408
127,-1452211408
128,-1452211408
129,-1452211408
130,-1452211408
131,-1452211408
132,-1452211408
133,-1452211408
134,-1452211408
135,-1452211408
136,-1452211408
137,-1452211408
138,-1452211408
139,-1452211408
140,-1452211152
141,-1452211408
142,-1452211408
143,-1452211408
144,-1452211408
145,-1452211408
146,-1452211152
147,-1452211408
148,-1452211408
149,-1452211408
150,-1452211408
151,-1452211408
152,-1452211408
153,-1452211408
154,-1452211408
155,-1452211408
156,1050738928
157,-1452211408
158,-1452211408
159,-1452211408
160,-1452211408
161,739311792
162,-1452211408
163,-1452211408
164,-1452211408
165,-1452211408
166,-1452211408
167,-1452211408
168,-1452211408
169,-1452211408
170,-1452211408
171,-1452211408
172,-1452211408
173,-1452211408
174,-1452211408
175,-1452211408
176,-1452211408
177,-1452211408
178,-1452211408
179,-1452211408
180,-1452211408
181,-1452211408
182,-1452211408
183,-1452211408
184,-1452211408
185,-1452211408
186,-1452211408
187,-1452211408
188,-1452211408
189,-1452211408
190,-1452211408
191,-1452211408
192,-1452211408
193,-1452211408
194,-1452211408
195,-1452211408
196,-1452211408
197,-1452211408
198,-1452211408
199,-1452211408
200,-1452211408
201,-1452211408
202,-1452211408
203,-1452211408
204,-1452211408
205,-1452211408
206,-1452211408
207,-1452211408
208,-1452211408
209,-1452211408
210,-1452211408
211,-1452211408
212,-1452211408
213,-1452211408
214,-1452211408
215,-1452211408
216,-1452211408
217,-1452211408
218,-1452211408
219,-1452211408
220,-1452211408
221,-1452211408
222,-1452211408
223,-1452211408
224,-1452211408
225,-1452211408
226,-1452211408
227,-1452211408
228,-1452211408
229,-1452211408
230,-1452211408
231,-1452211408
232,-1452211408
233,-1452211408
234,-1452211408
235,-1452211408
236,-1452211408
237,-1452211408
238,-1452211408
239,-1452211408
240,-1452211408
241,-1452211408
242,-1452211408
243,-1452211408
244,-1452211408
245,-1452211408
246,-1452211408
247,-1452211408
248,-1452211408
249,-1452211408
250,-1452211408
251,-1452211408
252,-1452211408
253,-1452211408
254,-1452211408
255,-1452211280
256,-1452211408
257,-1452211408
258,-1452211408
259,-1452211280
260,-1452211408
261,-1452211408
262,-1452211408
263,-1452211408
264,-1452211408
265,-1452211408
266,-1452211408
267,-1452211408
268,-1452211408
269,-1452211408
270,739311792
271,739311792
272,-1452211408
273,-1452211408
274,-1452211408
275,-1452211408
