x,y
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,14
15,14
16,15
17,15
18,15
19,16
20,17
21,18
22,19
23,19
24,20
25,21
26,21
27,21
28,21
29,22
30,22
31,23
32,23
33,24
34,24
35,25
36,26
37,27
38,28
39,29
40,29
41,29
42,29
43,30
44,30
45,31
46,32
47,32
48,33
49,33
50,33
51,33
52,33
53,34
54,35
55,36
56,37
57,37
58,37
59,37
60,37
61,37
62,37
63,37
64,37
65,37
66,38
67,38
68,39
69,39
70,39
71,39
72,40
73,40
74,40
75,40
76,41
77,41
78,41
79,41
80,42
81,43
82,44
83,44
84,45
85,45
86,46
87,46
88,47
89,47
90,47
91,48
92,48
93,48
94,48
95,48
96,48
97,49
98,49
99,49
100,49
101,49
102,49
103,49
104,50
105,50
106,51
107,51
108,51
109,52
110,52
111,52
112,52
113,52
114,52
115,52
116,52
117,52
118,52
119,53
120,53
121,53
122,53
123,54
124,55
125,55
126,56
127,56
128,57
129,57
130,57
131,57
132,57
133,57
134,57
135,57
136,57
137,57
138,57
139,57
140,57
141,57
142,58
143,59
144,59
145,60
146,60
147,61
148,61
149,61
150,62
151,62
152,62
153,63
154,64
155,65
156,65
157,65
158,65
159,66
160,66
161,66
162,66
163,66
164,66
165,66
166,66
167,67
168,68
169,68
170,68
171,69
172,69
173,70
174,70
175,70
176,70
177,70
178,70
179,70
180,70
181,70
182,71
183,71
184,71
185,71
186,71
187,72
188,72
189,72
190,72
191,72
192,72
193,73
194,73
195,73
196,73
197,73
198,73
199,73
200,74
201,74
202,74
203,74
204,74
205,74
206,75
207,75
208,75
209,75
210,75
211,76
212,77
213,77
214,77
215,78
216,79
217,79
218,80
219,81
220,82
221,82
222,83
223,83
224,83
225,84
226,84
227,84
228,84
229,84
230,84
231,85
232,85
233,85
234,86
235,86
236,86
237,86
238,86
239,86
240,86
241,86
242,86
243,86
244,86
245,86
246,87
247,87
248,88
249,88
250,88
251,88
252,88
253,88
254,88
255,88
256,88
257,88
258,88
259,88
260,88
261,88
262,89
263,89
264,89
265,89
266,90
267,90
268,90
269,90
270,90
271,90
272,90
273,91
274,91
275,91
276,91
277,91
278,91
279,91
280,91
281,91
282,91
283,91
284,91
285,91
286,91
287,91
288,91
289,91
290,91
291,91
292,91
293,91
294,91
295,91
296,91
297,92
298,92
299,92
300,92
301,92
302,92
303,92
304,92
305,92
306,92
307,92
308,92
309,92
310,92
311,92
312,92
313,92
314,93
315,93
316,93
317,94
318,94
319,94
320,94
321,94
322,94
323,94
324,94
325,95
326,95
327,95
328,95
329,95
330,95
331,95
332,95
333,95
334,96
335,96
336,96
337,96
338,96
339,96
340,96
341,96
342,96
343,96
344,96
345,96
346,97
347,97
348,97
349,98
350,98
351,98
352,99
353,99
354,99
355,99
356,100
357,100
358,100
359,100
360,100
361,100
362,100
363,100
364,100
365,100
366,100
367,100
368,100
369,100
370,100
371,100
372,100
373,100
374,100
375,100
376,100
377,100
378,100
379,100
380,100
381,100
382,100
383,100
384,101
385,101
386,101
387,102
388,102
389,102
390,102
391,102
392,102
393,102
394,102
395,102
396,102
397,102
398,102
399,102
400,102
401,102
402,102
403,102
404,102
405,102
406,102
407,102
408,102
409,102
410,102
411,102
412,102
413,102
414,102
415,102
416,102
417,103
418,103
419,103
420,103
421,103
422,103
423,103
424,103
425,103
426,103
427,103
428,103
429,103
430,103
431,103
432,103
433,103
434,103
435,103
436,103
437,103
438,103
439,103
440,103
441,103
442,103
443,103
444,103
445,103
446,103
447,103
448,103
449,103
450,103
451,103
452,103
453,103
454,104
455,104
456,104
457,104
458,104
459,104
460,104
461,105
462,105
463,105
464,105
465,105
466,105
467,105
468,105
469,105
470,105
471,105
472,105
473,106
474,107
475,107
476,107
477,107
478,107
479,107
480,107
481,107
482,107
483,108
484,108
485,108
486,109
487,109
488,109
489,110
490,110
491,110
492,110
493,110
494,110
495,110
496,110
497,110
498,110
499,110
500,110
501,110
502,110
503,111
504,111
505,111
506,111
507,111
508,111
509,111
510,111
511,111
512,111
513,111
514,111
515,111
516,111
517,111
518,111
519,111
520,111
521,111
522,111
523,111
524,111
525,111
526,112
527,112
528,112
529,112
530,112
531,112
532,112
533,112
534,112
535,112
536,112
537,112
538,112
539,112
540,112
541,113
542,113
543,113
544,113
545,113
546,113
547,113
548,113
549,113
550,113
551,113
552,113
553,114
554,114
555,114
556,114
557,114
558,114
559,114
560,114
561,114
562,114
563,114
564,114
565,114
566,114
567,114
568,114
569,114
570,114
571,114
572,114
573,114
574,114
575,114
576,114
577,115
578,115
579,115
580,116
581,116
582,116
583,116
584,116
585,116
586,116
587,116
588,116
589,116
590,116
591,116
592,116
593,116
594,116
595,116
596,116
597,116
598,116
599,116
600,116
601,116
602,116
603,116
604,116
605,116
606,116
607,116
608,117
609,117
610,117
611,117
612,118
613,118
614,118
615,118
616,119
617,119
618,119
619,119
620,120
621,121
622,121
623,121
624,121
625,121
626,121
627,121
628,121
629,121
630,122
631,122
632,122
633,123
634,123
635,123
636,123
637,123
638,123
639,123
640,123
641,123
642,123
643,123
644,123
645,123
646,123
647,123
648,123
649,123
650,123
651,123
652,123
653,123
654,123
655,123
656,123
657,123
658,123
659,123
660,123
661,124
662,124
663,124
664,124
665,124
666,124
667,124
668,124
669,125
670,126
671,127
672,127
673,127
674,127
675,127
676,127
677,127
678,127
679,127
680,127
681,127
682,127
683,127
684,127
685,127
686,127
687,128
688,128
689,128
690,128
691,128
692,128
693,128
694,128
695,128
696,128
697,128
698,128
699,128
700,128
701,128
702,128
703,128
704,128
705,128
706,128
707,128
708,128
709,128
710,128
711,128
712,128
713,128
714,128
715,128
716,128
717,128
718,128
719,128
720,128
721,128
722,128
723,128
724,128
725,128
726,128
727,128
728,128
729,128
730,128
731,129
732,129
733,129
734,129
735,129
736,129
737,129
738,129
739,130
740,130
741,130
742,130
743,130
744,130
745,130
746,130
747,130
748,130
749,130
750,130
751,130
752,130
753,130
754,130
755,130
756,130
757,130
758,130
759,130
760,130
761,130
762,130
763,130
764,130
765,130
766,130
767,130
768,130
769,130
770,130
771,130
772,130
773,131
774,131
775,131
776,131
777,131
778,131
779,131
780,131
781,131
782,131
783,131
784,132
785,132
786,132
787,132
788,132
789,133
790,133
791,133
792,133
793,133
794,134
795,134
796,134
797,134
798,134
799,135
800,135
801,135
802,135
803,135
804,135
805,135
806,135
807,135
808,135
809,135
810,135
811,135
812,135
813,135
814,135
815,135
816,135
817,135
818,135
819,135
820,135
821,135
822,135
823,135
824,135
825,135
826,136
827,136
828,136
829,136
830,136
831,136
832,136
833,136
834,136
835,136
836,136
837,136
838,136
839,136
840,136
841,136
842,136
843,136
844,136
845,136
846,136
847,136
848,136
849,136
850,136
851,136
852,136
853,136
854,136
855,137
856,137
857,137
858,137
859,137
860,137
861,137
862,137
863,137
864,137
865,137
866,137
867,137
868,137
869,137
870,137
871,137
872,137
873,137
874,137
875,137
876,137
877,137
878,137
879,137
880,137
881,137
882,137
883,137
884,137
885,137
886,137
887,137
888,137
889,137
890,137
891,137
892,138
893,139
894,139
895,139
896,139
897,139
898,139
899,139
900,139
901,139
902,139
903,139
904,139
905,139
906,139
907,139
908,139
909,139
910,139
911,139
912,139
913,139
914,139
915,139
916,139
917,139
918,139
919,139
920,139
921,140
922,140
923,140
924,140
925,140
926,140
927,140
928,140
929,140
930,140
931,140
932,140
933,140
934,140
935,140
936,140
937,140
938,140
939,140
940,141
941,141
942,141
943,141
944,141
945,141
946,141
947,141
948,141
949,142
950,142
951,142
952,142
953,142
954,142
955,142
956,142
957,142
958,142
959,142
960,142
961,142
962,142
963,142
