x,y
0,1
1,2
2,3
3,4
4,4
5,4
6,5
7,6
8,6
9,6
10,7
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,9
21,10
22,11
23,11
24,11
25,11
26,12
27,13
28,13
29,13
30,13
31,14
32,14
33,14
34,15
35,16
36,17
37,17
38,17
39,17
40,17
41,18
42,18
43,18
44,19
45,20
46,21
47,21
48,22
49,23
50,23
51,23
52,23
53,23
54,23
55,23
56,23
57,23
58,24
59,24
60,24
61,25
62,25
63,25
64,25
65,25
66,25
67,25
68,25
69,25
70,25
71,25
72,26
73,26
74,26
75,26
76,26
77,26
78,26
79,26
80,26
81,26
82,26
83,26
84,27
85,27
86,27
87,27
88,27
89,28
90,28
91,28
92,28
93,28
94,28
95,28
96,28
97,28
98,29
99,30
100,30
101,30
102,30
103,31
104,31
105,31
106,32
107,32
108,32
109,32
110,32
111,32
112,32
113,33
114,33
115,34
116,35
117,35
118,36
119,36
120,37
121,37
122,37
123,38
124,38
125,39
126,39
127,40
128,40
129,40
130,40
131,40
132,40
133,41
134,41
135,41
136,41
137,41
138,41
139,42
140,42
141,42
142,42
143,42
144,42
145,42
146,42
147,42
148,42
149,42
150,42
151,42
152,42
153,42
154,42
155,43
156,44
157,45
158,45
159,46
160,46
161,46
162,46
163,47
164,47
165,47
166,47
167,47
168,47
169,47
170,47
171,47
172,47
173,47
174,48
175,48
176,48
177,48
178,48
179,48
180,48
181,48
182,48
183,49
184,50
185,50
186,50
187,50
188,50
189,50
190,50
191,51
192,51
193,51
194,51
195,51
196,51
197,52
198,53
199,53
200,53
201,53
202,53
203,53
204,53
205,53
206,53
207,53
208,53
209,53
210,53
211,53
212,53
213,53
214,53
215,53
216,53
217,53
218,53
219,53
220,54
221,54
222,55
223,55
224,56
225,56
226,56
227,56
228,56
229,57
230,57
231,57
232,57
233,58
234,58
235,58
236,58
237,59
238,59
239,60
240,60
241,60
242,60
243,61
244,61
245,61
246,61
247,61
248,61
249,61
250,61
251,61
252,62
253,62
254,62
255,62
256,62
257,62
258,62
259,62
260,62
261,62
262,62
263,63
264,63
265,63
266,63
267,63
268,63
269,63
270,63
271,64
272,65
273,66
274,67
275,67
276,67
277,67
278,67
279,67
280,68
281,68
282,68
283,68
284,68
285,69
286,69
287,69
288,69
289,69
290,69
291,69
292,70
293,70
294,70
295,70
296,70
297,70
298,70
299,70
300,70
301,71
302,71
303,71
304,71
305,71
306,71
307,71
308,72
309,73
310,73
311,73
312,73
313,74
314,74
315,74
316,74
317,74
318,74
319,75
320,76
321,76
322,77
323,77
324,77
325,77
326,77
327,77
328,77
329,78
330,78
331,78
332,78
333,79
334,79
335,79
336,79
337,79
338,79
339,79
340,79
341,79
342,79
343,79
344,79
345,79
346,79
347,79
348,79
349,79
350,79
351,79
352,79
353,79
354,80
355,80
356,80
357,81
358,81
359,81
360,82
361,82
362,83
363,84
364,84
365,84
366,84
367,85
368,85
369,85
370,86
371,86
372,86
373,86
374,86
375,86
376,86
377,86
378,86
379,87
380,87
381,87
382,87
383,87
384,87
385,88
386,88
387,88
388,89
389,89
390,90
391,91
392,91
393,91
394,91
395,92
396,92
397,93
398,93
399,93
400,93
401,93
402,93
403,94
404,95
405,95
406,95
407,95
408,95
409,96
410,96
411,97
412,98
413,98
414,99
415,99
416,99
417,99
418,99
419,99
420,100
421,100
422,100
423,100
424,101
425,101
426,101
427,101
428,101
429,101
430,101
431,101
432,101
433,101
434,101
435,101
436,101
437,101
438,101
439,101
440,101
441,101
442,101
443,101
444,101
445,101
446,102
447,102
448,102
449,102
450,102
451,102
452,102
453,102
454,103
455,103
456,103
457,103
458,103
459,103
460,103
461,103
462,104
463,104
464,104
465,104
466,104
467,104
468,104
469,105
470,105
471,106
472,106
473,107
474,107
475,107
476,108
477,108
478,108
479,108
480,108
481,108
482,109
483,109
484,110
485,111
486,111
487,111
488,111
489,111
490,111
491,111
492,111
493,111
494,111
495,111
496,111
497,111
498,111
499,112
500,112
501,113
502,113
503,113
504,113
505,113
506,113
507,113
508,114
509,115
510,115
511,115
512,115
513,115
514,115
515,115
516,115
517,115
518,115
519,115
520,115
521,115
522,115
523,116
524,116
525,116
526,116
527,116
528,117
529,117
530,117
531,118
532,118
533,118
534,118
535,118
536,118
537,119
538,119
539,120
540,120
541,120
542,121
543,121
544,121
545,121
546,121
547,121
548,122
549,122
550,122
551,122
552,122
553,122
554,122
555,122
556,122
557,122
558,122
559,122
560,122
561,122
562,123
563,123
564,123
565,123
566,123
567,123
568,123
569,123
570,123
571,123
572,123
573,123
574,123
575,123
576,123
577,123
578,124
579,124
580,124
581,124
582,125
583,125
584,125
585,126
586,126
587,127
588,127
589,127
590,128
591,129
592,129
593,129
594,129
595,129
596,129
597,129
598,129
599,129
600,129
601,129
602,130
603,130
604,130
605,130
606,130
607,130
608,130
609,130
610,130
611,130
612,130
613,130
614,130
615,130
616,130
617,131
618,132
619,132
620,133
621,134
622,134
623,134
624,134
625,135
626,135
627,135
628,135
629,135
630,135
631,135
632,135
633,135
634,135
635,135
636,135
637,135
638,136
639,136
640,136
641,136
642,136
643,136
644,136
645,136
646,136
647,136
648,137
649,137
650,137
651,137
652,138
653,138
654,138
655,138
656,138
657,138
658,138
659,138
660,138
661,138
662,138
663,138
664,138
665,138
666,138
667,138
668,138
669,138
670,139
671,140
672,140
673,140
674,140
675,140
676,141
677,141
678,141
679,142
680,142
681,142
682,143
683,143
684,143
685,143
686,143
687,143
688,143
689,143
690,143
691,143
692,143
693,144
694,144
695,144
696,144
697,144
698,144
699,144
700,144
701,144
702,144
703,145
704,145
705,145
706,145
707,145
708,145
709,145
710,145
711,145
712,146
713,146
714,146
715,146
716,146
717,146
718,147
719,147
720,147
721,147
722,147
723,147
724,147
725,147
726,148
727,148
728,148
729,149
730,150
731,151
732,152
733,152
734,152
735,153
736,153
737,153
738,153
739,153
740,153
741,153
742,154
743,154
744,154
745,154
746,154
747,155
748,155
749,155
750,155
751,155
752,156
753,157
754,157
755,157
756,157
757,157
758,157
759,157
760,157
761,157
762,157
763,157
764,157
765,157
766,157
767,157
768,157
769,157
770,157
771,157
772,157
773,157
774,157
775,157
776,157
777,157
778,157
779,157
780,157
781,157
782,157
783,157
784,157
785,157
786,157
787,157
788,157
789,157
790,157
791,157
792,157
793,157
794,158
795,158
796,159
797,159
798,159
799,159
800,159
801,159
802,159
803,159
804,159
805,159
806,159
807,159
808,159
809,159
810,159
811,159
812,160
813,160
814,160
815,160
816,160
817,160
818,160
819,160
820,160
821,161
822,161
823,161
824,161
825,161
826,161
827,161
828,161
829,161
830,161
831,161
832,162
833,162
834,162
835,162
836,162
837,162
838,163
839,163
840,163
841,163
842,163
843,163
844,163
845,163
846,163
847,163
848,163
849,163
850,163
851,163
852,164
853,164
854,164
855,165
856,165
857,165
858,165
859,165
860,166
861,166
862,166
863,166
864,166
865,167
866,167
867,167
868,167
869,167
870,167
871,167
872,167
873,167
874,168
875,168
876,168
877,168
878,168
879,168
880,168
881,168
882,168
883,168
884,168
885,168
886,168
887,168
888,168
889,168
890,168
891,168
892,168
893,168
894,169
895,169
896,169
897,169
898,169
899,169
900,169
901,169
902,169
903,170
904,170
905,170
906,170
907,170
908,170
909,170
910,170
911,170
912,170
913,170
914,170
915,170
916,170
917,170
918,170
919,170
920,170
921,170
922,171
923,171
924,171
925,171
926,171
927,171
928,172
929,172
930,172
931,172
932,172
933,172
934,172
935,172
936,172
937,172
938,172
939,172
940,172
941,172
942,173
943,173
944,173
945,173
946,173
947,173
948,174
949,174
950,174
951,174
952,174
953,174
954,174
955,174
956,174
957,174
958,174
959,175
960,176
961,177
962,177
963,178
