x,y
0,1
1,2
2,3
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,5
11,5
12,5
13,5
14,6
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,9
35,9
36,9
37,9
38,9
39,10
40,10
41,10
42,11
43,11
44,11
45,11
46,11
47,11
48,12
49,12
50,13
51,13
52,13
53,14
54,14
55,14
56,14
57,15
58,15
59,15
60,15
61,16
62,16
63,16
64,17
65,18
66,18
67,18
68,18
69,18
70,18
71,18
72,18
73,18
74,18
75,18
76,19
77,20
78,20
79,20
80,20
81,20
82,20
83,20
84,21
85,21
86,21
87,21
88,22
89,22
90,22
91,22
92,22
93,22
94,23
95,23
96,23
97,23
98,23
99,23
100,23
101,24
102,24
103,24
104,24
105,24
106,24
107,24
108,24
109,24
110,24
111,24
112,24
113,24
114,24
115,24
116,24
117,24
118,24
119,25
120,25
121,26
122,26
123,26
124,27
125,27
126,27
127,28
128,28
129,28
130,29
131,29
132,29
133,29
134,30
135,31
136,31
137,31
138,31
139,31
140,31
141,31
142,31
143,32
144,32
145,32
146,32
147,32
148,33
149,33
150,34
151,35
152,35
153,35
154,35
155,35
156,35
157,36
158,37
159,37
160,38
161,38
162,38
163,38
164,38
165,38
166,38
167,38
168,38
169,38
170,39
171,39
172,40
173,40
174,40
175,40
176,40
177,40
178,41
179,41
180,41
181,41
182,42
183,42
184,42
185,42
186,43
187,44
188,44
189,44
190,44
191,44
192,44
193,44
194,44
195,44
196,44
197,44
198,44
199,44
200,44
201,45
202,45
203,45
204,46
205,46
206,46
207,46
208,46
209,46
210,46
211,46
212,46
213,46
214,46
215,46
216,46
217,46
218,46
219,46
220,46
221,46
222,46
223,46
224,46
225,46
226,46
227,46
228,46
229,46
230,46
231,46
232,46
233,46
234,46
235,46
236,47
237,47
238,47
239,47
240,47
241,47
242,47
243,48
244,48
245,48
246,48
247,48
248,48
249,48
250,48
251,48
252,48
253,48
254,48
255,48
256,48
257,48
258,48
259,48
260,48
261,48
262,48
263,48
264,48
265,49
266,49
267,49
268,49
269,49
270,49
271,49
272,49
273,49
274,49
275,49
276,49
277,49
278,50
279,50
280,50
281,50
282,51
283,51
284,51
285,51
286,51
287,51
288,51
289,51
290,51
291,51
292,51
293,51
294,52
295,52
296,52
297,52
298,52
299,52
300,52
301,52
302,52
303,52
304,52
305,52
306,52
307,52
308,52
309,52
310,52
311,53
312,54
313,54
314,54
315,54
316,54
317,55
318,55
319,55
320,55
321,55
322,55
323,55
324,55
325,55
326,55
327,55
328,56
329,56
330,56
331,56
332,56
333,56
334,56
335,57
336,57
337,57
338,57
339,57
340,57
341,57
342,57
343,57
344,57
345,58
346,58
347,58
348,58
349,58
350,58
351,59
352,59
353,59
354,59
355,60
356,60
357,60
358,60
359,60
360,60
361,60
362,60
363,60
364,60
365,60
366,60
367,60
368,60
369,60
370,60
371,60
372,60
373,60
374,60
375,61
376,61
377,61
378,61
379,61
380,61
381,61
382,61
383,61
384,62
385,62
386,62
387,62
388,62
389,62
390,62
391,62
392,62
393,62
394,62
395,62
396,62
397,62
398,62
399,62
400,62
401,62
402,62
403,62
404,62
405,62
406,62
407,62
408,63
409,63
410,64
411,64
412,64
413,65
414,65
415,65
416,65
417,65
418,65
419,65
420,65
421,65
422,65
423,66
424,66
425,66
426,66
427,66
428,66
429,66
430,66
431,67
432,67
433,67
434,67
435,67
436,67
437,67
438,67
439,68
440,68
441,69
442,69
443,69
444,69
445,69
446,69
447,69
448,69
449,69
450,70
451,71
452,72
453,73
454,73
455,73
456,73
457,73
458,73
459,73
460,73
461,73
462,74
463,74
464,74
465,74
466,74
467,74
468,75
469,75
470,75
471,76
472,76
473,76
474,76
475,76
476,76
477,76
478,76
479,76
480,76
481,76
482,77
483,77
484,77
485,77
486,77
487,77
488,77
489,77
490,78
491,78
492,78
493,78
494,79
495,79
496,79
497,79
498,79
499,79
500,79
501,79
502,79
503,79
504,79
505,79
506,79
507,79
508,79
509,79
510,79
511,79
512,79
513,79
514,79
515,79
516,79
517,79
518,79
519,79
520,79
521,79
522,79
523,79
524,79
525,79
526,79
527,79
528,79
529,80
530,80
531,80
532,80
533,80
534,81
535,82
536,82
537,82
538,82
539,82
540,83
541,83
542,83
543,83
544,83
545,83
546,83
547,83
548,83
549,83
550,83
551,83
552,83
553,83
554,83
555,83
556,83
557,83
558,83
559,83
560,83
561,83
562,83
563,83
564,83
565,83
566,83
567,83
568,83
569,84
570,84
571,84
572,84
573,84
574,84
575,84
576,84
577,84
578,84
579,84
580,84
581,84
582,84
583,84
584,84
585,84
586,84
587,84
588,84
589,84
590,84
591,84
592,85
593,85
594,85
595,85
596,85
597,85
598,85
599,85
600,85
601,85
602,85
603,85
604,86
605,86
606,86
607,86
608,86
609,86
610,86
611,86
612,86
613,86
614,87
615,87
616,87
617,87
618,87
619,87
620,87
621,87
622,87
623,87
624,87
625,87
626,87
627,87
628,87
629,87
630,87
631,87
632,87
633,87
634,88
635,88
636,88
637,88
638,88
639,88
640,88
641,89
642,89
643,89
644,89
645,89
646,89
647,90
648,90
649,90
650,90
651,90
652,90
653,91
654,91
655,91
656,91
657,91
658,91
659,91
660,91
661,91
662,91
663,91
664,92
665,92
666,92
667,92
668,92
669,92
670,92
671,92
672,92
673,92
674,93
675,93
676,94
677,94
678,94
679,95
680,95
681,95
682,95
683,95
684,95
685,95
686,95
687,95
688,95
689,95
690,95
691,95
692,96
693,96
694,96
695,96
696,96
697,96
698,96
699,96
700,96
701,96
702,96
703,96
704,96
705,96
706,96
707,96
708,96
709,96
710,96
711,96
712,96
713,96
714,96
715,96
716,96
717,96
718,96
719,96
720,96
721,96
722,96
723,96
724,96
725,96
726,96
727,96
728,96
729,96
730,96
731,96
732,96
733,96
734,96
735,96
736,96
737,96
738,96
739,96
740,96
741,96
742,96
743,96
744,96
745,96
746,96
747,97
748,98
749,98
750,98
751,98
752,98
753,98
754,98
755,98
756,99
757,99
758,99
759,99
760,99
761,100
762,100
763,100
764,101
765,102
766,102
767,102
768,102
769,102
770,102
771,103
772,103
773,104
774,104
775,104
776,104
777,104
778,104
779,105
780,105
781,105
782,105
783,105
784,105
785,105
786,105
787,105
788,105
789,105
790,106
791,106
792,106
793,107
794,107
795,107
796,107
797,108
798,108
799,108
800,108
801,108
802,108
803,108
804,108
805,108
806,108
807,108
808,108
809,108
810,108
811,108
812,108
813,109
814,109
815,109
816,109
817,109
818,109
819,109
820,109
821,109
822,109
823,109
824,109
825,109
826,109
827,109
828,109
829,109
830,109
831,109
832,109
833,109
834,109
835,109
836,109
837,109
838,109
839,109
840,109
841,109
842,109
843,109
844,109
845,109
846,109
847,109
848,109
849,109
850,109
851,109
852,109
853,109
854,110
855,110
856,110
857,110
858,110
859,111
860,111
861,111
862,111
863,111
864,111
865,111
866,111
867,112
868,112
869,112
870,112
871,112
872,112
873,112
874,112
875,112
876,113
877,113
878,113
879,113
880,113
881,113
882,113
883,113
884,113
885,113
886,113
887,113
888,113
889,113
890,113
891,113
892,113
893,113
894,113
895,113
896,113
897,113
898,113
899,113
900,113
901,114
902,114
903,114
904,114
905,114
906,114
907,114
908,114
909,114
910,114
911,114
912,114
913,115
914,115
915,115
916,115
917,115
918,116
919,116
920,116
921,116
922,116
923,116
924,116
925,116
926,116
927,116
928,116
929,116
930,116
931,116
932,116
933,116
934,116
935,116
936,116
937,116
938,116
939,116
940,116
941,116
942,116
943,116
944,116
945,116
946,116
947,116
948,116
949,116
950,116
951,116
952,116
953,116
954,116
955,116
956,116
957,116
958,116
959,116
960,116
961,116
962,116
963,116
